# value,Bin
0.238351873,1
0.159317253,2
0.17775237,3
0.188803473,4
0.136199749,5
0.21939522,6
0.18463355,7
0.182723114,8
0.070113002,9
0.237937617,10
0.179361518,11
0.192689435,12
0.223084313,13
0.133777181,14
0.171135939,15
0.170074045,16
0.164164181,17
0.019153549,18
0.238351873,19
0.118393906,20
0.134750861,21
0.132743387,22
0.110127572,23
0.152512516,24
0.160488323,25
0.152223408,26
0.043286105,27
0.235846134,28
0.158985387,29
0.149086424,30
0.175141004,31
0.119889815,32
0.156282011,33
0.162894502,34
0.146124172,35
0.026362418,36
